candidate_i,candidate_j,qubit_i,qubit_j,params_i,params_j,pair_params,baseline_loss,baseline_accuracy,baseline_macro_f1,pair_loss,pair_accuracy,pair_macro_f1,measured_loss_increase,measured_accuracy_drop,measured_f1_drop,predicted_loss_increase,predicted_accuracy_drop,predicted_f1_drop,interaction_loss_gap,interaction_accuracy_gap,interaction_f1_gap,proxy_q_ij,eval_seconds
stages.2.blocks.2,stages.3.blocks.2,0,1,1201920,4763136,5965056,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.195256983935833,0.96,0.9573943082612046,0.10661968767642976,0.03166666666666673,0.03367441520778702,0.08753155787785848,0.020000000000000018,0.021225012075898886,0.019088129798571288,0.011666666666666714,0.012449403131888137,0.15193923189227612,76.30964439999661
stages.2.blocks.2,stages.2.blocks.0,0,2,1201920,1201920,2403840,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.1365823133289814,0.9833333333333333,0.9825968323567402,0.04794501706957818,0.008333333333333415,0.00847189111225144,0.03622808734575908,0.0050000000000000044,0.005153768976659423,0.011716929723819103,0.0033333333333334103,0.0033181221355920165,0.07561691669266563,78.36602469999343
stages.2.blocks.2,stages.2.blocks.5,0,3,1201920,1201920,2403840,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.14384793678919475,0.9866666666666667,0.985134760428878,0.05521064052979152,0.0050000000000000044,0.005933963040113621,0.03941135495901109,0.0016666666666667052,0.0016907469085679638,0.015799285570780433,0.0033333333333332993,0.004243216131545657,0.07566079067972539,357.41280410000763
stages.2.blocks.2,stages.2.blocks.3,0,4,1201920,1201920,2403840,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.1422373326619466,0.9816666666666667,0.9807974774547856,0.05360003640254338,0.010000000000000009,0.010271246014206037,0.044028904239336655,0.0033333333333334103,0.0035808120792207854,0.009571132163206722,0.006666666666666599,0.0066904339349852515,0.07572443292473471,78.25334189999558
stages.2.blocks.2,stages.2.blocks.7,0,5,1201920,1201920,2403840,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.15698374350865682,0.9833333333333333,0.9817462645303608,0.0683464472492536,0.008333333333333415,0.009322458938630818,0.0562131549914678,0.00666666666666671,0.007535491099004421,0.012133292257785797,0.0016666666666667052,0.0017869678396263966,0.0758923646617984,2125.872167399997
stages.2.blocks.2,stages.3.blocks.0,0,6,1201920,4763136,5965056,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.45467360099156695,0.9333333333333333,0.9298825627489747,0.36603630473216375,0.05833333333333335,0.061186160720016924,0.3021574864784877,0.04833333333333334,0.05163710632319274,0.06387881825367603,0.010000000000000009,0.009549054396824186,0.1578280053775952,85.2172974999994
stages.2.blocks.2,stages.1.blocks.1,0,7,1201920,306048,1507968,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.13155914495388668,0.9883333333333333,0.988043513384958,0.042921848694483455,0.0033333333333334103,0.0030252100840336693,0.03471005683143934,0.0050000000000000044,0.004883047140755936,0.008211791863044118,-0.0016666666666665941,-0.0018578370567222668,0.03814659466365788,77.97074799999245
stages.2.blocks.2,stages.0.blocks.2,0,8,1201920,79296,1281216,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.13775323828061423,0.98,0.9789709056608439,0.049115942021211,0.011666666666666714,0.012097817808147782,0.038790333767731985,0.0033333333333334103,0.003274865518560377,0.010325608253479016,0.008333333333333304,0.008822952289587405,0.019431646497758893,75.16433820000384
stages.2.blocks.2,stages.0.blocks.0,0,9,1201920,79296,1281216,0.08863729625940323,0.9916666666666667,0.9910687234689917,2.806814454396566,0.18833333333333332,0.14221326714440344,2.7181771581371628,0.8033333333333333,0.8488554563245883,2.7371895756324136,0.8150000000000001,0.8597200589725222,-0.019012417495250844,-0.011666666666666714,-0.010864602647933985,0.028984387815158046,956.2878045000107
stages.3.blocks.2,stages.2.blocks.0,1,2,4763136,1201920,5965056,0.08863729625940323,0.9916666666666667,0.9910687234689917,0.1957498693962892,0.9533333333333334,0.950430448166702,0.10711257313688596,0.03833333333333333,0.040638275302289695,0.09952139317989349,0.025000000000000022,0.02632661621166099,0.007591179956992475,0.013333333333333308,0.014311659090628703,0.15226820157772053,81.04133139998885
